time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-19T21:27:29.040Z,37.5079994,-118.8655014,7.32,1.18,md,10,177,0.08684,0.02,nc,nc72414035,2015-03-19T21:29:04.630Z,"18km SSE of Mammoth Lakes, California",earthquake
2015-03-19T21:22:53.900Z,33.4991667,-116.5068333,5.75,0.36,ml,9,248,0.07981,0.22,ci,ci37343328,2015-03-19T21:26:36.558Z,"17km ESE of Anza, California",earthquake
2015-03-19T21:04:26.000Z,63.9875,-148.7444,6.9,1.6,ml,,,,0.33,ak,ak11532277,2015-03-19T21:32:44.307Z,"18km NE of Healy, Alaska",earthquake
2015-03-19T21:02:06.400Z,33.8365,-117.5041667,0.01,1.54,ml,20,78,0.05279,0.43,ci,ci37343304,2015-03-19T21:06:14.288Z,"5km SSE of Home Gardens, California",quarry blast
2015-03-19T20:48:35.000Z,61.0574,-152.2739,103.2,2.3,ml,,,,0.69,ak,ak11532274,2015-03-19T21:16:20.136Z,"67km NW of Nikiski, Alaska",earthquake
2015-03-19T20:21:47.470Z,36.0511667,-117.5993333,1.1,1.46,ml,21,71,0.08966,0.31,ci,ci37343248,2015-03-19T20:25:33.786Z,"30km ENE of Little Lake, California",earthquake
2015-03-19T20:08:41.950Z,37.5086667,-118.8673333,7.11,1.2,md,24,109,0.08671,0.03,nc,nc72414020,2015-03-19T20:31:04.799Z,"18km SSE of Mammoth Lakes, California",earthquake
2015-03-19T20:07:56.000Z,63.013,-151.5696,0.5,2.2,ml,,,,0.69,ak,ak11532236,2015-03-19T20:40:40.905Z,"107km NW of Talkeetna, Alaska",earthquake
2015-03-19T20:04:38.180Z,37.5048333,-118.8818333,4.94,0.35,md,8,111,0.09481,0.08,nc,nc72414015,2015-03-19T20:36:05.806Z,"17km SSE of Mammoth Lakes, California",earthquake
2015-03-19T20:01:47.990Z,46.647,-120.5016667,0.01,1.78,md,16,102,0.1222,0.32,uw,uw60986406,2015-03-19T20:46:13.350Z,"2km ESE of Selah, Washington",explosion
2015-03-19T19:57:34.630Z,38.9673333,-111.395,8.28,2.04,ml,11,71,0.181,0.17,uu,uu60104947,2015-03-19T20:32:28.730Z,"26km WSW of Ferron, Utah",earthquake
2015-03-19T19:52:49.000Z,62.3737,-151.145,79.6,1.8,ml,,,,0.49,ak,ak11532232,2015-03-19T20:25:01.325Z,"53km W of Talkeetna, Alaska",earthquake
